id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
5700,2014,1,골목상권,신월로15길,치킨전문점,127025276,4
5701,2014,1,골목상권,신월로15길,안경,243332878,1
5705,2014,1,골목상권,오목로5길,노래방,58564754,5
5706,2014,1,골목상권,오목로5길,시계및귀금속,29608071,2
5708,2014,1,골목상권,오목로5길,화장품,551707647,6
5709,2014,1,골목상권,오목로5길,치킨전문점,225023893,7
5712,2014,1,골목상권,오목로5길,철물점,19913770,3
5716,2014,1,골목상권,오목로3길,커피-음료,4053689,1
5721,2014,1,골목상권,신월로15길,화장품,1646460,4
5722,2014,1,골목상권,남부순환로70길,슈퍼마켓,581069863,13
5731,2014,1,골목상권,지양로7길,한식음식점,680558755,33
5732,2014,1,골목상권,남부순환로70길,신발,14012548,1
5736,2014,1,골목상권,남부순환로70길,의약품,127802396,3
5737,2014,1,골목상권,남부순환로70길,화장품,7905529,3
5739,2014,1,골목상권,신목로6길,호프-간이주점,3265574,3
5740,2014,1,골목상권,목동동로8길,노래방,100845344,6
5743,2014,1,골목상권,신목로2길,일반교습학원,149201456,8
5744,2014,1,골목상권,신목로2길,스포츠클럽,39846796,2
5746,2014,1,골목상권,신목로6길,치과의원,404967735,4
5747,2014,1,골목상권,신목로6길,슈퍼마켓,209312105,10
5754,2014,1,골목상권,신목로2길,육류판매,613515478,3
5755,2014,1,골목상권,신목로2길,핸드폰,53770353,2
5757,2014,1,골목상권,목동동로8길,외국어학원,341634950,8
5758,2014,1,골목상권,목동동로8길,편의점,80995322,2
5761,2014,1,골목상권,신목로5길,안경,87071959,1
5762,2014,1,골목상권,신목로5길,의약품,66942310,1
5764,2014,1,골목상권,신목로5길,운동/경기용품,330034659,1
5765,2014,1,골목상권,신목로2길,인테리어,2454379,4
5769,2014,1,골목상권,목동남로4길,일반의원,754349314,4
5770,2014,1,골목상권,목동남로4길,한의원,126963781,2
5772,2014,1,골목상권,목동남로4길,미용실,113294543,13
5773,2014,1,골목상권,오목로23길,가전제품,231859177,2
5776,2014,1,골목상권,목동남로4길,안경,106491205,3
5777,2014,1,골목상권,목동로19길,제과점,583129365,4
5779,2014,1,골목상권,목동로19길,일반의류,505067561,11
5780,2014,1,골목상권,목동로19길,네일숍,48325830,4
5785,2014,1,골목상권,목동로19길,서적,354022382,1
5786,2014,1,골목상권,목동동로8길,한의원,264919842,4
5788,2014,1,골목상권,목동로19길,청과상,107101421,3
5789,2014,1,골목상권,중앙로45길,가구,416984794,1
5792,2014,1,골목상권,오목로5길,인테리어,33631785,1
5793,2014,1,골목상권,오목로23길,인테리어,29496845,3
5795,2014,1,골목상권,목동로19길,독서실,10870706,1
5796,2014,1,골목상권,목동로19길,컴퓨터및주변장치판매,44696610,4
5803,2014,1,골목상권,목동로9길,화초,33800656,3
5804,2014,1,골목상권,오목로30길,육류판매,639469969,2
5807,2014,1,골목상권,목동로9길,편의점,928914660,5
5808,2014,1,골목상권,은행정로7길,화장품,2045265,3
5810,2014,1,골목상권,은행정로7길,한의원,197619961,2
5811,2014,1,골목상권,오목로30길,일반의류,15854416,5
5817,2014,1,골목상권,은행정로7길,핸드폰,6181053,2
5821,2014,1,골목상권,신목로5길,청과상,587901218,2
5824,2014,1,골목상권,신목로5길,전자상거래업,10361631,1
5825,2014,1,골목상권,신목로5길,편의점,21191131,0
5833,2014,1,골목상권,중앙로45길,양식음식점,45274528,1
5836,2014,1,골목상권,중앙로25길,한의원,64623501,1
5839,2014,1,골목상권,중앙로25길,골프연습장,162536455,5
5840,2014,1,골목상권,신월로15길,네일숍,19102680,2
5848,2014,1,골목상권,남부순환로88길,외국어학원,590893214,6
5875,2014,1,골목상권,목동동로12길,독서실,21530390,3
6013,2014,1,골목상권,은행정로7길,당구장,5469514,1
6016,2014,1,골목상권,은행정로7길,가구,613498362,3
6132,2014,1,골목상권,목동동로12길,의약품,41244514,3
6387,2014,1,골목상권,신목로6길,여관,25108076,1
6642,2014,1,골목상권,신목로6길,안경,15027693,1
6897,2014,1,골목상권,신목로6길,예술학원,104380702,6
6923,2014,1,골목상권,지양로7길,주유소,829973923,1
6972,2014,1,전통시장,신정제일시장,일반의원,450409428,2
6980,2014,1,전통시장,신정제일시장,반찬가게,10426651,3
6987,2014,1,전통시장,신정제일시장,화초,50554060,1
6996,2014,1,골목상권,목동중앙서로8가길,분식전문점,15401866,1
7003,2014,1,골목상권,신목로6길,외국어학원,726986347,4
7011,2014,1,골목상권,목동동로12길,운동/경기용품,110300888,1
7153,2014,1,골목상권,신목로6길,문구,2694677,3
7408,2014,1,전통시장,목2동시장,한식음식점,1845638506,44
7664,2014,1,전통시장,목2동시장,한의원,424087367,4
7919,2014,1,전통시장,목2동시장,육류판매,366900497,5
8178,2014,1,전통시장,목2동시장,핸드폰,79169315,4
8433,2014,1,전통시장,목2동시장,청과상,385052076,2
8739,2014,1,골목상권,신월로20길,치과의원,126605816,1
9454,2014,1,골목상권,목동중앙북로16길,커피-음료,22742966,5
9687,2014,1,골목상권,목동로9길,신발,42109856,2
9695,2014,1,골목상권,목동로9길,세탁소,700545,2
9710,2014,1,골목상권,목동중앙북로16길,패스트푸드점,1400201,1
9715,2014,1,골목상권,목동중앙서로7길,문구,47897498,0
9737,2014,1,골목상권,중앙로55길,분식전문점,3541910,2
9746,2014,1,골목상권,중앙로55길,미용실,2684781,6
9753,2014,1,골목상권,중앙로55길,세탁소,8169314,2
9761,2014,1,전통시장,경창시장,육류판매,672425513,11
9778,2014,1,전통시장,경창시장,미용실,11371016,2
9785,2014,1,전통시장,경창시장,미곡판매,68424552,2
9793,2014,1,전통시장,경창시장,한의원,119175220,1
9800,2014,1,전통시장,경창시장,수산물판매,19821931,3
9809,2014,1,골목상권,신월로15길,골프연습장,14788526,1
9824,2014,1,골목상권,신목로6길,자동차미용,11262526,2
9831,2014,1,골목상권,신목로2길,일반의류,54904186,6
