id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
1391,2014,1,전통시장,영등포전통시장,미용실,1761847098,25
1405,2014,1,전통시장,영등포전통시장,패스트푸드점,1943748540,17
1406,2014,1,전통시장,영등포전통시장,가방,7915127438,60
1416,2014,1,전통시장,영등포전통시장,여관,216834340,18
1417,2014,1,골목상권,도신로60길,노래방,57044168,4
1420,2014,1,골목상권,도신로60길,청과상,126038314,4
1421,2014,1,골목상권,영등포로84길,한의원,46351104,2
1423,2014,1,전통시장,대신시장,슈퍼마켓,30000000,2
1424,2014,1,전통시장,대신시장,반찬가게,8837965,2
1428,2014,1,전통시장,대신시장,섬유제품,33356445,4
1429,2014,1,골목상권,도신로60길,반찬가게,118521808,4
1431,2014,1,골목상권,도신로62길,육류판매,662975725,2
1432,2014,1,골목상권,신길로42가길,슈퍼마켓,123295907,8
1436,2014,1,골목상권,여의대방로43나길,치과의원,101426469,1
1438,2014,1,골목상권,여의대방로43나길,독서실,11484186,3
1439,2014,1,골목상권,여의대방로43나길,섬유제품,6515330,1
1444,2014,1,골목상권,가마산로61길,한식음식점,209343904,9
1448,2014,1,골목상권,신길로42길,의약품,19877424,1
1452,2014,1,전통시장,우리시장,신발,3628258,1
1459,2014,1,골목상권,도신로15길,치킨전문점,23574793,3
1470,2014,1,골목상권,대림로44길,호프-간이주점,18284616,5
1476,2014,1,골목상권,여의대방로35길,피부관리실,1299145,1
1477,2014,1,골목상권,여의대방로39길,한식음식점,1175524876,25
1479,2014,1,골목상권,여의대방로39길,노래방,18080645,5
1480,2014,1,골목상권,대림로7길,치킨전문점,32231196,2
1484,2014,1,골목상권,여의대방로35길,컴퓨터및주변장치판매,4439279,6
1486,2014,1,골목상권,여의대방로35길,스포츠클럽,1807039,1
1491,2014,1,전통시장,영진시장A동,청과상,78426313,1
1499,2014,1,골목상권,여의대방로61길,편의점,63363248,1
1501,2014,1,골목상권,경인로77길,분식전문점,68890753,0
1502,2014,1,골목상권,경인로77길,노래방,4671839,1
1507,2014,1,골목상권,경인로77길,의약품,51318249,4
1508,2014,1,골목상권,경인로77길,일반의원,206196985,1
1510,2014,1,골목상권,경인로80길,편의점,323636262,2
1511,2014,1,골목상권,경인로80길,중식음식점,49515397,2
1517,2014,1,골목상권,경인로80길,슈퍼마켓,10139926,11
1523,2014,1,골목상권,대림로8길,스포츠 강습,34761310,1
1525,2014,1,골목상권,대림로8길,한의원,103384797,2
1526,2014,1,골목상권,대림로8길,의약품,1290200494,7
1532,2014,1,골목상권,여의대방로39길,전자상거래업,8297484,5
1541,2014,1,골목상권,신길로17길,미곡판매,255304049,2
1542,2014,1,전통시장,우리시장,치킨전문점,10508724,0
1544,2014,1,골목상권,대림로22길,육류판매,39250428,4
1551,2014,1,골목상권,디지털로57길,일반의원,483233421,4
1552,2014,1,골목상권,디지털로57길,외국어학원,58947719,0
1556,2014,1,골목상권,디지털로57길,스포츠 강습,23851679,1
1557,2014,1,골목상권,디지털로37길,한의원,135593757,2
1559,2014,1,골목상권,디지털로37길,일반의류,179088395,9
1560,2014,1,골목상권,디지털로57길,화장품,75288952,5
1563,2014,1,골목상권,디지털로57길,청과상,102158319,3
1564,2014,1,골목상권,디지털로57길,시계및귀금속,8074520,2
1566,2014,1,골목상권,디지털로57길,철물점,43913430,2
1567,2014,1,골목상권,디지털로37길,치킨전문점,56503763,3
1572,2014,1,골목상권,디지털로37길,여행사,18545065,18
1573,2014,1,골목상권,디지털로37길,반찬가게,301810289,10
1575,2014,1,골목상권,디지털로37길,문구,6024649,2
1576,2014,1,전통시장,대림중앙시장,청과상,16114348,1
1580,2014,1,골목상권,대림로29길,육류판매,1473974473,8
1582,2014,1,골목상권,대림로7길,분식전문점,30448122,3
1588,2014,1,골목상권,대림로29길,중식음식점,1465924273,48
1590,2014,1,골목상권,대림로31길,편의점,206510146,2
1591,2014,1,골목상권,대림로29길,치과의원,429716384,3
1594,2014,1,골목상권,대림로29길,사진관,8866842,1
1595,2014,1,골목상권,대림로29길,일반의원,502767257,4
1597,2014,1,골목상권,대림로29길,신발,23915059,2
1598,2014,1,골목상권,영신로9길,고시원,32957983,2
1604,2014,1,골목상권,신길로60길,여관,12243307,1
1605,2014,1,골목상권,영신로9길,예술학원,13520659,2
1607,2014,1,골목상권,신길로60길,가구,6348092,0
1608,2014,1,골목상권,영신로9길,일반교습학원,142808152,1
1611,2014,1,골목상권,신길로60길,미곡판매,183992573,2
1612,2014,1,골목상권,도신로29길,조명용품,16924994,1
1614,2014,1,골목상권,도림로112길,분식전문점,5269763,2
1620,2014,1,골목상권,도림로112길,예술학원,124670511,2
1622,2014,1,골목상권,국회대로56길,일반의류,349261940,8
